video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_39,15,2,2018-08-17 00:15:06,11,2018-08-17 00:15:06,19,2,"T,P",1.0,,"It is tailing behaviour, passing occurs in brief",,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_40,15,2,2018-08-17 00:15:07,1,2018-08-17 00:15:07,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_41,15,2,2018-08-17 00:15:24,23,2018-08-17 00:15:25,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_42,15,2,2018-08-17 00:15:34,4,2018-08-17 00:15:34,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_43,15,2,2018-08-17 00:15:35,10,2018-08-17 00:15:36,4,3,P,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_44,15,2,2018-08-17 00:15:36,11,2018-08-17 00:15:37,21,2,P,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_45,15,2,2018-08-17 00:15:38,3,2018-08-17 00:15:39,18,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_46,15,2,2018-08-17 00:15:44,12,2018-08-17 00:15:45,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_47,15,2,2018-08-17 00:15:45,9,2018-08-17 00:15:46,16,2,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_48,15,2,2018-08-17 00:15:46,23,2018-08-17 00:15:47,6,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_49,15,2,2018-08-17 00:15:52,5,2018-08-17 00:15:52,20,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_50,16,2,2018-08-17 00:16:44,13,2018-08-17 00:16:44,23,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_51,16,2,2018-08-17 00:16:45,4,2018-08-17 00:16:45,11,2,,1.0,,The first bat is inside the cave when the second bat loops once and exits,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_52,18,2,2018-08-17 00:18:04,17,2018-08-17 00:18:05,12,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_53,18,2,2018-08-17 00:18:12,21,2018-08-17 00:18:14,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_54,20,2,2018-08-17 00:20:40,17,2018-08-17 00:20:42,8,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_55,21,2,2018-08-17 00:21:38,23,2018-08-17 00:21:40,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_56,21,2,2018-08-17 00:21:53,24,2018-08-17 00:21:54,18,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_57,21,2,2018-08-17 00:21:58,7,2018-08-17 00:21:58,17,1,,1.0,,,,Aditya
