,audio_file,cf_detection_number,detection_start,detection_stop
3,matching_annotaudio_Aditya_2018-08-16_2324_255_hp,3.0,0.238392,0.252436
4,matching_annotaudio_Aditya_2018-08-16_2324_255_hp,4.0,0.279128,0.295264
5,matching_annotaudio_Aditya_2018-08-16_2324_255_hp,5.0,0.439128,0.45382
0,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,0.0,0.009676,0.032228
1,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,1.0,0.058724,0.080316
2,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,2.0,0.086652,0.109216
3,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,3.0,0.13592,0.154956
4,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,4.0,0.163044,0.185072
5,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,5.0,0.216528,0.235464
6,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,6.0,0.241564,0.266456
0,matching_annotaudio_Aditya_2018-08-16_2324_26_hp,0.0,0.1424,0.160068
1,matching_annotaudio_Aditya_2018-08-16_2324_26_hp,1.0,0.210688,0.235124
2,matching_annotaudio_Aditya_2018-08-16_2324_26_hp,2.0,0.287516,0.31696
0,matching_annotaudio_Aditya_2018-08-16_2324_260_hp,0.0,0.205012,0.254652
0,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.0,0.013624,0.030768
1,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,1.0,0.067844,0.080832
2,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,2.0,0.122252,0.133212
3,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,3.0,0.20194,0.212368
4,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,4.0,0.223668,0.2662
5,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,5.0,0.299272,0.338164
6,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,6.0,0.350684,0.365428
7,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,7.0,0.377632,0.416592
8,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,8.0,0.416804,0.427264
0,matching_annotaudio_Aditya_2018-08-16_2324_280_hp,0.0,0.111936,0.132784
1,matching_annotaudio_Aditya_2018-08-16_2324_280_hp,1.0,0.142256,0.164428
0,matching_annotaudio_Aditya_2018-08-16_2324_285_hp,0.0,0.231984,0.244236
0,matching_annotaudio_Aditya_2018-08-16_2324_287_hp,0.0,0.05906,0.070024
1,matching_annotaudio_Aditya_2018-08-16_2324_287_hp,1.0,0.199044,0.223552
2,matching_annotaudio_Aditya_2018-08-16_2324_287_hp,2.0,0.229484,0.247608
3,matching_annotaudio_Aditya_2018-08-16_2324_287_hp,3.0,0.26822,0.287468
0,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,0.0,0.150264,0.160496
1,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,1.0,0.175696,0.187548
2,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,2.0,0.22442,0.255424
3,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,3.0,0.26394,0.283468
4,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,4.0,0.308624,0.334032
0,matching_annotaudio_Aditya_2018-08-16_2324_31_hp,0.0,0.206668,0.226548
1,matching_annotaudio_Aditya_2018-08-16_2324_31_hp,1.0,0.233176,0.249336
2,matching_annotaudio_Aditya_2018-08-16_2324_31_hp,2.0,0.283252,0.298004
3,matching_annotaudio_Aditya_2018-08-16_2324_31_hp,3.0,0.435164,0.446216
0,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,0.0,0.005452,0.021136
1,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,1.0,0.026456,0.048016
2,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,2.0,0.083892,0.10206
3,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,3.0,0.103192,0.124636
4,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,4.0,0.131948,0.14624
5,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,5.0,0.15614,0.175884
6,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,6.0,0.200636,0.239596
7,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,7.0,0.246764,0.260824
0,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,0.0,0.109572,0.124316
1,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,1.0,0.171252,0.200308
2,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,2.0,0.25546,0.275324
3,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,3.0,0.275384,0.292596
4,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,4.0,0.337488,0.3494
5,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,5.0,0.397948,0.413328
6,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,6.0,0.452356,0.467128
0,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,0.0,0.035724,0.061168
1,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,1.0,0.211048,0.232068
2,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,2.0,0.238528,0.262788
3,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,3.0,0.329748,0.340352
4,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,4.0,0.432512,0.451064
