,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,measurement,fold_number
0,True,False,False,0.2602,2.585896163431457,False,tfm_bw,12
0,True,False,False,0.4634,-2.2175584872245153,False,ifm_bw,12
0,True,False,False,0.1864,-3.067999999999998,False,cf_duration,13
0,True,False,False,0.1934,0.35399999999999987,False,tfm_duration,13
0,True,False,False,0.7004,0.07799999999999985,False,ifm_duration,13
0,True,False,False,0.1464,0.6957453370277733,False,cf_peak_frequency,13
0,True,False,False,0.341,-2.432896851374224,False,tfm_terminal_frequency,13
0,True,False,False,0.1946,2.6233004213474516,False,ifm_terminal_frequency,13
0,True,False,False,0.34,2.4570183658180795,False,cf_dbrms,13
0,True,False,False,0.332,-2.251879427247985,False,tfm_dbrms,13
0,True,False,False,0.156,5.92838664206424,False,ifm_dbrms,13
0,True,False,False,0.7844,-0.26761808281646093,False,tfm-cf_dbratio,13
0,True,False,False,0.485,0.9854417202514174,False,ifm-cf_dbratio,13
0,True,False,False,0.222,2.8140425262825737,False,tfm_bw,13
0,True,False,False,0.3854,-2.2175584872245153,False,ifm_bw,13
0,True,False,False,0.1998,-3.067999999999998,False,cf_duration,14
0,True,False,False,0.2114,0.35399999999999987,False,tfm_duration,14
0,True,False,False,0.6276,0.09799999999999986,False,ifm_duration,14
0,True,False,False,0.1466,0.6197697796911257,False,cf_peak_frequency,14
0,True,False,False,0.3524,-2.432896851374224,False,tfm_terminal_frequency,14
0,True,False,False,0.2902,2.3189173044643496,False,ifm_terminal_frequency,14
0,True,False,False,0.3434,2.4570183658180795,False,cf_dbrms,14
0,True,False,False,0.3712,-2.251879427247985,False,tfm_dbrms,14
0,True,False,False,0.2036,5.642693166285802,False,ifm_dbrms,14
0,True,False,False,0.8964,-0.17520207661687692,False,tfm-cf_dbratio,14
0,True,False,False,0.5572,0.6473142717136859,False,ifm-cf_dbratio,14
0,True,False,False,0.2196,2.8140425262825737,False,tfm_bw,14
0,True,False,False,0.5102,-1.6148366175798508,False,ifm_bw,14
0,True,False,False,0.2024,-2.8299999999999983,False,cf_duration,15
0,True,False,False,0.1944,0.35399999999999987,False,tfm_duration,15
0,True,False,False,0.688,0.07799999999999985,False,ifm_duration,15
0,True,False,False,0.1462,0.6957453370277733,False,cf_peak_frequency,15
0,True,False,False,0.3518,-2.432896851374224,False,tfm_terminal_frequency,15
0,True,False,False,0.14,2.6233004213474516,False,ifm_terminal_frequency,15
0,True,False,False,0.3126,2.4570183658180795,False,cf_dbrms,15
0,True,False,False,0.331,-2.251879427247985,False,tfm_dbrms,15
0,True,False,False,0.1698,5.356999690507358,False,ifm_dbrms,15
0,True,False,False,0.9534,-0.059991556175345906,False,tfm-cf_dbratio,15
0,True,False,False,0.504,0.9854417202514174,False,ifm-cf_dbratio,15
0,True,False,False,0.2182,2.8140425262825737,False,tfm_bw,15
0,True,False,False,0.2192,-2.7635173998619926,False,ifm_bw,15
0,True,False,False,0.1878,-3.067999999999998,False,cf_duration,16
0,True,False,False,0.1988,0.3859999999999997,False,tfm_duration,16
0,True,False,False,0.6926,0.07799999999999985,False,ifm_duration,16
0,True,False,False,0.1446,0.6957453370277733,False,cf_peak_frequency,16
0,True,False,False,0.274,-2.432896851374224,False,tfm_terminal_frequency,16
0,True,False,False,0.3402,2.0145341875812335,False,ifm_terminal_frequency,16
0,True,False,False,0.4328,1.9244693777647015,False,cf_dbrms,16
0,True,False,False,0.2594,-2.408948902986097,False,tfm_dbrms,16
0,True,False,False,0.2938,4.480300191712523,False,ifm_dbrms,16
0,True,False,False,0.8896,-0.17520207661687692,False,tfm-cf_dbratio,16
0,True,False,False,0.6602,0.5964468454638787,False,ifm-cf_dbratio,16
0,True,False,False,0.1374,3.3535135329021006,False,tfm_bw,16
0,True,False,False,0.4428,-2.2175584872245153,False,ifm_bw,16
0,True,False,False,0.2006,-3.067999999999998,False,cf_duration,17
0,True,False,False,0.1506,0.37799999999999967,False,tfm_duration,17
0,True,False,False,0.7046,0.07799999999999985,False,ifm_duration,17
0,True,False,False,0.139,0.6957453370277733,False,cf_peak_frequency,17
0,True,False,False,0.3524,-2.432896851374224,False,tfm_terminal_frequency,17
0,True,False,False,0.2026,2.6233004213474516,False,ifm_terminal_frequency,17
0,True,False,False,0.403,1.9244693777647015,False,cf_dbrms,17
0,True,False,False,0.2724,-2.3624789464117555,False,tfm_dbrms,17
0,True,False,False,0.2778,4.480300191712523,False,ifm_dbrms,17
0,True,False,False,0.8972,-0.17520207661687692,False,tfm-cf_dbratio,17
0,True,False,False,0.644,0.5964468454638787,False,ifm-cf_dbratio,17
0,True,False,False,0.2196,2.8140425262825737,False,tfm_bw,17
0,True,False,False,0.4056,-2.2175584872245153,False,ifm_bw,17
0,True,False,False,0.2208,-3.067999999999998,False,cf_duration,18
0,True,False,False,0.1846,0.35399999999999987,False,tfm_duration,18
0,True,False,False,0.752,0.06999999999999984,False,ifm_duration,18
0,True,False,False,0.1176,0.7930605090146798,False,cf_peak_frequency,18
0,True,False,False,0.266,-2.647960053621418,False,tfm_terminal_frequency,18
0,True,False,False,0.1694,2.56012656690001,False,ifm_terminal_frequency,18
0,True,False,False,0.4326,1.9244693777647015,False,cf_dbrms,18
0,True,False,False,0.2652,-2.532928816949365,False,tfm_dbrms,18
0,True,False,False,0.2254,5.356999690507358,False,ifm_dbrms,18
